2,72,9
0,0,46
1,22,26
0,53,32
1,100,57
0,50,64
2,33,87
1,88,59
2,23,67
2,84,33
2,32,62
0,68,55
2,28,95
2,3,72
1,36,36
1,25,10
2,8,67
1,8,12
1,79,62
2,32,93
0,34,48
2,26,83
1,57,66
0,62,54
0,51,59
1,4,3
1,85,96
2,68,12
2,96,0
0,51,98
0,51,44
1,75,95
1,44,38
2,38,95
2,98,24
2,73,16
1,30,4
0,52,30
2,78,36
1,41,39
2,90,3
1,73,74
2,89,11
2,1,82
1,21,2
1,65,79
0,53,93
2,65,24
1,15,25
0,63,45
2,26,80
1,37,8
2,85,14
0,54,34
1,43,33
2,7,83
1,10,41
0,52,80
1,23,31
1,36,32
2,83,4
1,15,42
1,22,35
0,49,55
0,45,78
2,5,76
1,78,83
2,4,60
0,53,30
2,20,94
2,17,94
2,73,18
2,28,74
0,83,52
1,91,96
1,73,76
2,100,26
0,75,45
1,26,21
2,26,61
2,40,87
1,42,19
0,53,7
0,51,65
0,55,68
2,18,76
2,89,6
2,67,42
0,71,47
2,70,12
2,43,63
1,10,33
2,34,66
1,41,3
1,89,80
2,90,7
2,73,10
2,90,28
0,79,50
2,84,7
1,26,16
2,71,17
2,11,91
1,66,99
2,79,36
0,45,85
0,96,48
2,12,86
2,36,80
0,99,46
1,43,10
1,33,20
0,82,47
0,57,51
2,82,21
0,24,48
2,78,38
2,3,71
0,46,55
2,91,5
2,27,82
1,41,18
2,18,81
2,98,1
0,46,57
1,71,100
2,87,3
1,90,84
2,85,39
2,8,79
2,83,27
1,71,83
1,81,61
2,67,25
2,6,81
1,69,77
1,2,42
0,71,47
1,94,63
1,9,31
1,4,5
2,24,83
2,38,59
0,50,50
1,83,98
2,8,71
2,64,36
0,45,0
1,98,77
2,79,13
2,41,80
1,26,1
0,7,47
2,11,90
2,39,79
0,64,45
1,96,99
0,91,53
1,80,59
2,85,16
1,23,34
2,7,57
2,25,65
2,17,94
2,44,90
1,22,3
1,95,58
1,76,85
2,29,56
1,96,65
2,20,74
1,17,17
1,2,10
1,17,21
1,90,86
1,41,43
1,80,82
0,65,50
0,51,81
2,82,39
1,58,88
2,98,30
0,34,53
2,37,81
0,48,0
2,79,29
1,91,59
2,4,93
1,78,70
2,68,1
2,15,87
2,25,64
1,12,28
2,12,91
1,56,65
2,35,74
0,15,52
2,1,75
2,2,81
1,14,14
1,36,22
0,53,80
0,6,48
1,33,41
2,69,33
0,81,53
1,11,23
2,72,41
2,10,96
1,72,83
2,28,61
0,52,37
1,93,74
2,4,73
0,51,0
2,17,70
2,93,34
2,77,29
1,84,65
1,66,82
1,30,38
1,26,17
2,59,27
2,64,18
2,43,80
1,29,27
0,28,55
2,32,74
0,45,69
0,1,46
2,33,81
2,26,85
2,91,44
2,72,26
1,83,65
2,42,92
2,31,70
1,98,81
2,66,21
2,16,93
2,74,16
2,41,82
2,56,6
2,95,32
0,47,44
1,80,75
2,88,22
0,52,41
2,77,17
1,75,70
1,78,68
1,37,18
1,12,26
1,62,65
1,10,23
2,91,1
1,34,3
0,0,46
1,24,35
1,95,64
1,84,67
0,51,60
2,27,74
1,35,36
0,53,85
1,30,42
0,7,55
0,96,45
2,92,21
0,98,49
1,75,95
1,95,60
1,32,28
1,79,71
0,56,48
1,31,13
2,100,17
2,41,85
2,75,19
1,17,25
0,8,51
0,52,5
1,20,5
0,52,21
1,68,89
0,51,29
2,91,10
2,29,77
1,89,99
1,84,82
2,18,95
1,76,70
2,63,23
1,37,17
1,68,95
0,92,48
1,69,65
2,94,18
0,96,51
2,15,70
0,14,50
2,80,2
2,22,85
2,44,59
2,5,72
1,40,17
2,10,93
2,74,23
1,15,44
0,48,3
2,16,66
2,34,94
2,40,69
2,90,0
2,92,27
1,35,0
2,0,91
2,18,89
1,33,20
1,6,11
0,45,42
1,73,59
0,21,49
1,24,28
2,34,96
0,35,45
0,52,94
1,81,66
2,62,11
0,15,51
1,78,63
2,70,38
2,82,29
1,95,93
0,45,11
2,38,60
0,92,48
0,47,70
0,47,80
1,88,73
2,29,91
1,66,96
2,23,88
1,63,74
1,11,35
0,54,48
2,44,97
1,38,38
1,78,96
0,86,49
2,13,70
2,100,20
2,63,15
1,23,29
0,24,53
1,98,85
0,85,54
2,1,93
1,87,90
1,59,81
0,8,48
1,0,43
0,59,52
2,98,17
2,93,27
2,13,56
0,55,1
0,50,37
2,34,88
1,42,21
2,37,86
1,96,81
1,95,83
1,89,59
0,16,54
1,10,41
2,5,91
2,12,58
1,24,43
2,64,44
1,23,3
2,37,96
0,19,54
1,72,57
1,99,75
2,39,89
1,100,98
1,1,38
1,22,8
0,1,45
2,82,38
0,45,93
2,14,82
1,69,84
2,12,58
0,55,55
1,35,22
0,50,88
2,90,33
0,92,52
1,7,27
0,55,16
2,35,74
1,21,32
1,75,83
2,92,31
0,54,7
1,21,24
1,34,1
1,80,92
1,100,70
